interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,vote_trump,voteintention,agegroup,race,incomelevel,educationl,workingstatus
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $79,999",Associate Degree,WI,WI04,49,1,Trump,45-54,White,Middle income,Some College,Working
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,VA08,39,0,Biden,30-44,White,Middle income,College Degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,VA09,46,1,Trump,45-54,White,Upper income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"Less than $14,999",High school graduate,WA,WA05,52,1,Trump,45-54,White,Lower income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,Northeast,Not Hispanic,White,"$80,000 to $84,999","Completed some college, but no degree",MA,MA05,21,0,Biden,18-29,White,Middle income,Some College,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999","Completed some college, but no degree",TX,TX36,38,0,Biden,30-44,Black,Lower income,Some College,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,West,Not Hispanic,White,"$40,000 to $44,999","Completed some college, but no degree",CA,CA16,69,1,Trump,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,NC07,59,1,Trump,55-64,White,Middle income,College Degree,Not working
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $124,999",Masters degree,OH,OH16,51,0,Biden,45-54,White,Middle income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Female,South,Not Hispanic,White,"$60,000 to $64,999","Completed some college, but no degree",FL,FL18,55,0,Biden,55-64,White,Middle income,Some College,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"$30,000 to $34,999",High school graduate,OH,OH08,42,0,Biden,30-44,White,Lower income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,NY25,81,0,Biden,65+,White,Lower income,College Degree,Not working
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Very Liberal,Self-employed,The United States,Female,South,Not Hispanic,White,"$40,000 to $44,999","Completed some college, but no degree",KY,KY03,22,0,Biden,18-29,White,Middle income,Some College,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,IN09,71,1,Trump,65+,White,Upper income,College Degree,Not working
Most of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Male,West,Not Hispanic,White,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,WA10,41,0,Biden,30-44,White,Lower income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,SC02,55,1,Trump,55-64,White,Middle income,College Degree,Working
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Midwest,Not Hispanic,White,"$85,000 to $89,999",Associate Degree,MN,MN03,68,0,Biden,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,Female,South,Not Hispanic,White,"$90,000 to $94,999","Completed some college, but no degree",GA,GA06,69,1,Trump,65+,White,Middle income,Some College,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $79,999",Masters degree,PA,PA12,33,1,Trump,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,NJ09,70,0,Biden,65+,White,Middle income,College Degree,Not working
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$30,000 to $34,999",Associate Degree,VA,VA05,32,1,Trump,30-44,White,Lower income,Some College,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999","Completed some college, but no degree",SC,SC01,77,1,Trump,65+,White,Middle income,Some College,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999",Associate Degree,TX,TX01,65,1,Trump,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Part-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999","Completed some college, but no degree",FL,FL23,22,0,Biden,18-29,Black,Lower income,Some College,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $49,999",Masters degree,IL,IL02,79,0,Biden,65+,White,Middle income,Masters degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $79,999","Completed some college, but no degree",OH,OH04,70,1,Trump,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$80,000 to $84,999",Masters degree,OH,OH14,54,0,Biden,45-54,White,Middle income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,Male,West,Not Hispanic,White,"$40,000 to $44,999","Completed some college, but no degree",CA,CA36,72,0,Biden,65+,White,Middle income,Some College,Not working
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"$20,000 to $24,999",Completed some high school,FL,FL06,40,1,Trump,30-44,White,Lower income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$150,000 to $174,999",Doctorate degree,FL,FL23,36,0,Biden,30-44,White,Upper income,Doctorate degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",TX,TX10,40,0,Biden,30-44,White,Middle income,College Degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",NJ,NJ07,41,0,Biden,30-44,White,Middle income,College Degree,Working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Not Sure,Full-time employed,The United States,Female,South,Not Hispanic,White,"$45,000 to $49,999","Completed some college, but no degree",FL,FL17,50,0,Biden,45-54,White,Middle income,Some College,Working
Most of the time,Registered,Jill Stein,"Yes, I will vote",Someone else,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,Asian (Asian Indian),"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,TX21,26,0,Biden,18-29,Others,Middle income,College Degree,Working
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",OR,OR02,72,1,Trump,65+,White,Lower income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,PA03,80,0,Biden,65+,Black,Middle income,College Degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,South,Not Hispanic,White,"$80,000 to $84,999","Completed some college, but no degree",NC,NC02,66,0,Biden,65+,White,Middle income,Some College,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Female,West,Not Hispanic,White,"$40,000 to $44,999",Completed some high school,CA,,23,0,Biden,18-29,White,Middle income,High School Graduate,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,Asian (Vietnamese),"$75,000 to $79,999",Masters degree,VA,VA09,31,1,Trump,30-44,Others,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$95,000 to $99,999",Masters degree,OH,OH05,69,1,Trump,65+,White,Middle income,Masters degree,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$85,000 to $89,999",Masters degree,IL,IL11,51,0,Biden,45-54,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Conservative,Retired,The United States,Female,Northeast,Not Hispanic,White,"$45,000 to $49,999",High school graduate,PA,,70,0,Biden,65+,White,Middle income,High School Graduate,Not working
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,West,Not Hispanic,White,"$150,000 to $174,999",Masters degree,CA,CA40,19,0,Biden,18-29,White,Upper income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,Northeast,Not Hispanic,White,"$30,000 to $34,999",Completed some high school,CT,CT01,39,0,Biden,30-44,White,Lower income,High School Graduate,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NC,NC02,63,1,Trump,55-64,White,Middle income,College Degree,Not working
Some of the time,Registered,Jill Stein,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$30,000 to $34,999",Associate Degree,WI,WI08,68,0,Biden,65+,White,Lower income,Some College,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Self-employed,The United States,Male,South,Not Hispanic,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",FL,FL06,41,0,Biden,30-44,White,Middle income,College Degree,Working
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$45,000 to $49,999",Associate Degree,CT,CT01,73,1,Trump,65+,White,Middle income,Some College,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$40,000 to $44,999",Masters degree,NC,NC09,38,1,Trump,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"$30,000 to $34,999",Associate Degree,OR,OR05,69,1,Trump,65+,White,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $124,999",Masters degree,IL,IL15,61,1,Trump,55-64,White,Middle income,Masters degree,Not working
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$45,000 to $49,999","Completed some college, but no degree",TX,TX22,72,0,Biden,65+,White,Middle income,Some College,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,West,Not Hispanic,White,"$30,000 to $34,999",Masters degree,CA,CA24,54,1,Trump,45-54,White,Lower income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,South,Not Hispanic,White,"$150,000 to $174,999",Masters degree,FL,FL02,70,0,Biden,65+,White,Upper income,Masters degree,Not working
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999",Masters degree,GA,GA10,52,1,Trump,45-54,White,Middle income,Masters degree,Working
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$95,000 to $99,999",Masters degree,IL,IL05,40,0,Biden,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $79,999",Masters degree,NY,NY21,63,0,Biden,55-64,White,Middle income,Masters degree,Not working
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$60,000 to $64,999","Completed some college, but no degree",MI,MI01,38,0,Biden,30-44,White,Middle income,Some College,Not working
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$60,000 to $64,999",High school graduate,SC,SC02,75,0,Biden,65+,White,Middle income,High School Graduate,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $49,999",High school graduate,IL,IL16,30,1,Trump,30-44,White,Middle income,High School Graduate,Not working
