gender,agegroup,race,incomelevel,educationl,workingstatus,state,vote_trump,voteintention
Female,45-54,White,Middle income,Some College,Working,WI,1,Trump
Female,30-44,White,Middle income,College Degree,Working,VA,0,Biden
Female,45-54,White,Upper income,College Degree,Working,VA,1,Trump
Female,45-54,White,Lower income,High School Graduate,Not working,WA,1,Trump
Female,18-29,White,Middle income,Some College,Not working,MA,0,Biden
Female,30-44,Black,Lower income,Some College,Not working,TX,0,Biden
Female,65+,White,Middle income,Some College,Not working,CA,1,Trump
Female,55-64,White,Middle income,College Degree,Not working,NC,1,Trump
Female,45-54,White,Middle income,Masters degree,Working,OH,0,Biden
Female,55-64,White,Middle income,Some College,Working,FL,0,Biden
Female,30-44,White,Lower income,High School Graduate,Not working,OH,0,Biden
Female,65+,White,Lower income,College Degree,Not working,NY,0,Biden
Female,18-29,White,Middle income,Some College,Working,KY,0,Biden
Male,65+,White,Upper income,College Degree,Not working,IN,1,Trump
Male,30-44,White,Lower income,College Degree,Working,WA,0,Biden
Female,55-64,White,Middle income,College Degree,Working,SC,1,Trump
Male,65+,White,Middle income,Some College,Not working,MN,0,Biden
Female,65+,White,Middle income,Some College,Working,GA,1,Trump
Female,30-44,White,Middle income,Masters degree,Working,PA,1,Trump
Female,65+,White,Middle income,College Degree,Not working,NJ,0,Biden
Female,30-44,White,Lower income,Some College,Working,VA,1,Trump
Female,65+,White,Middle income,Some College,Not working,SC,1,Trump
Female,65+,White,Middle income,Some College,Not working,TX,1,Trump
Female,18-29,Black,Lower income,Some College,Working,FL,0,Biden
Male,65+,White,Middle income,Masters degree,Working,IL,0,Biden
Male,65+,White,Middle income,Some College,Not working,OH,1,Trump
Female,45-54,White,Middle income,Masters degree,Working,OH,0,Biden
Male,65+,White,Middle income,Some College,Not working,CA,0,Biden
Female,30-44,White,Lower income,High School Graduate,Not working,FL,1,Trump
Female,30-44,White,Upper income,Doctorate degree,Working,FL,0,Biden
Female,30-44,White,Middle income,College Degree,Working,TX,0,Biden
Female,30-44,White,Middle income,College Degree,Working,NJ,0,Biden
Female,45-54,White,Middle income,Some College,Working,FL,0,Biden
Female,18-29,Others,Middle income,College Degree,Working,TX,0,Biden
Female,65+,White,Lower income,Some College,Not working,OR,1,Trump
Female,65+,Black,Middle income,College Degree,Working,PA,0,Biden
Female,65+,White,Middle income,Some College,Not working,NC,0,Biden
Female,18-29,White,Middle income,High School Graduate,Working,CA,0,Biden
Male,30-44,Others,Middle income,Masters degree,Working,VA,1,Trump
Male,65+,White,Middle income,Masters degree,Not working,OH,1,Trump
Female,45-54,White,Middle income,Masters degree,Working,IL,0,Biden
Female,65+,White,Middle income,High School Graduate,Not working,PA,0,Biden
Female,18-29,White,Upper income,Masters degree,Working,CA,0,Biden
Male,30-44,White,Lower income,High School Graduate,Working,CT,0,Biden
Female,55-64,White,Middle income,College Degree,Not working,NC,1,Trump
Female,65+,White,Lower income,Some College,Not working,WI,0,Biden
Male,30-44,White,Middle income,College Degree,Working,FL,0,Biden
Female,65+,White,Middle income,Some College,Not working,CT,1,Trump
Female,30-44,White,Middle income,Masters degree,Working,NC,1,Trump
